"region","type of property","variable","value","year"
"1292 Ängelholm","multi-dwelling and commercial buildings","residential","462",2000
"1292 Ängelholm","industrial buildings","residential",NA,2000
"1292 Ängelholm","total","residential","1443",2000
"1293 Hässleholm","one- or two dwelling buildings","residential","1254",2000
"1293 Hässleholm","multi-dwelling and commercial buildings","residential","540",2000
"1293 Hässleholm","industrial buildings","residential",NA,2000
"1293 Hässleholm","total","residential","1794",2000
"1315 Hylte","one- or two dwelling buildings","residential","258",2000
"1315 Hylte","multi-dwelling and commercial buildings","residential","77",2000
"1315 Hylte","industrial buildings","residential",NA,2000
"1315 Hylte","total","residential","335",2000
"1380 Halmstad","one- or two dwelling buildings","residential","2121",2000
"1380 Halmstad","multi-dwelling and commercial buildings","residential","1400",2000
"1380 Halmstad","industrial buildings","residential",NA,2000
"1380 Halmstad","total","residential","3521",2000
"1381 Laholm","one- or two dwelling buildings","residential","673",2000
"1381 Laholm","multi-dwelling and commercial buildings","residential","116",2000
"1381 Laholm","industrial buildings","residential",NA,2000
"1381 Laholm","total","residential","789",2000
"1382 Falkenberg","one- or two dwelling buildings","residential","933",2000
"1382 Falkenberg","multi-dwelling and commercial buildings","residential","395",2000
"1382 Falkenberg","industrial buildings","residential",NA,2000
"1382 Falkenberg","total","residential","1328",2000
"1383 Varberg","one- or two dwelling buildings","residential","964",2000
"1383 Varberg","multi-dwelling and commercial buildings","residential","719",2000
"1383 Varberg","industrial buildings","residential",NA,2000
"1383 Varberg","total","residential","1683",2000
"1384 Kungsbacka","one- or two dwelling buildings","residential","1860",2000
"1384 Kungsbacka","multi-dwelling and commercial buildings","residential","452",2000
"1384 Kungsbacka","industrial buildings","residential",NA,2000
"1384 Kungsbacka","total","residential","2312",2000
"1401 Härryda","one- or two dwelling buildings","residential","865",2000
"1401 Härryda","multi-dwelling and commercial buildings","residential","177",2000
"1401 Härryda","industrial buildings","residential",NA,2000
"1401 Härryda","total","residential","1041",2000
"1402 Partille","one- or two dwelling buildings","residential","801",2000
"1402 Partille","multi-dwelling and commercial buildings","residential","500",2000
"1402 Partille","industrial buildings","residential",NA,2000
"1402 Partille","total","residential","1301",2000
"1407 Öckerö","one- or two dwelling buildings","residential","494",2000
"1407 Öckerö","multi-dwelling and commercial buildings","residential","20",2000
"1407 Öckerö","industrial buildings","residential",NA,2000
"1407 Öckerö","total","residential","514",2000
"1415 Stenungsund","one- or two dwelling buildings","residential","461",2000
"1415 Stenungsund","multi-dwelling and commercial buildings","residential","203",2000
"1415 Stenungsund","industrial buildings","residential",NA,2000
"1415 Stenungsund","total","residential","664",2000
"1419 Tjörn","one- or two dwelling buildings","residential","381",2000
"1419 Tjörn","multi-dwelling and commercial buildings","residential","45",2000
"1419 Tjörn","industrial buildings","residential",NA,2000
"1419 Tjörn","total","residential","425",2000
"1421 Orust","one- or two dwelling buildings","residential","229",2000
"1421 Orust","multi-dwelling and commercial buildings","residential","58",2000
"1421 Orust","industrial buildings","residential",NA,2000
"1421 Orust","total","residential","287",2000
"1427 Sotenäs","one- or two dwelling buildings","residential","443",2000
"1427 Sotenäs","multi-dwelling and commercial buildings","residential","75",2000
"1427 Sotenäs","industrial buildings","residential",NA,2000
"1427 Sotenäs","total","residential","518",2000
"1430 Munkedal","one- or two dwelling buildings","residential","210",2000
"1430 Munkedal","multi-dwelling and commercial buildings","residential","62",2000
"1430 Munkedal","industrial buildings","residential",NA,2000
"1430 Munkedal","total","residential","272",2000
"1435 Tanum","one- or two dwelling buildings","residential","199",2000
"1435 Tanum","multi-dwelling and commercial buildings","residential","69",2000
"1435 Tanum","industrial buildings","residential",NA,2000
"1435 Tanum","total","residential","268",2000
"1438 Dals-Ed","one- or two dwelling buildings","residential","96",2000
"1438 Dals-Ed","multi-dwelling and commercial buildings","residential","44",2000
"1438 Dals-Ed","industrial buildings","residential",NA,2000
"1438 Dals-Ed","total","residential","140",2000
"1439 Färgelanda","one- or two dwelling buildings","residential","138",2000
"1439 Färgelanda","multi-dwelling and commercial buildings","residential","30",2000
"1439 Färgelanda","industrial buildings","residential",NA,2000
"1439 Färgelanda","total","residential","168",2000
"1440 Ale","one- or two dwelling buildings","residential","531",2000
"1440 Ale","multi-dwelling and commercial buildings","residential","275",2000
"1440 Ale","industrial buildings","residential",NA,2000
"1440 Ale","total","residential","806",2000
"1441 Lerum","one- or two dwelling buildings","residential","1097",2000
"1441 Lerum","multi-dwelling and commercial buildings","residential","179",2000
"1441 Lerum","industrial buildings","residential",NA,2000
"1441 Lerum","total","residential","1277",2000
"1442 Vårgårda","one- or two dwelling buildings","residential","146",2000
"1442 Vårgårda","multi-dwelling and commercial buildings","residential","71",2000
"1442 Vårgårda","industrial buildings","residential",NA,2000
"1442 Vårgårda","total","residential","218",2000
"1443 Bollebygd","one- or two dwelling buildings","residential","133",2000
"1443 Bollebygd","multi-dwelling and commercial buildings","residential","54",2000
"1443 Bollebygd","industrial buildings","residential",NA,2000
"1443 Bollebygd","total","residential","187",2000
"1444 Grästorp","one- or two dwelling buildings","residential","104",2000
"1444 Grästorp","multi-dwelling and commercial buildings","residential","34",2000
"1444 Grästorp","industrial buildings","residential",NA,2000
"1444 Grästorp","total","residential","138",2000
"1445 Essunga","one- or two dwelling buildings","residential","94",2000
"1445 Essunga","multi-dwelling and commercial buildings","residential","23",2000
"1445 Essunga","industrial buildings","residential",NA,2000
"1445 Essunga","total","residential","117",2000
"1446 Karlsborg","one- or two dwelling buildings","residential","189",2000
"1446 Karlsborg","multi-dwelling and commercial buildings","residential","85",2000
"1446 Karlsborg","industrial buildings","residential",NA,2000
"1446 Karlsborg","total","residential","274",2000
"1447 Gullspång","one- or two dwelling buildings","residential","141",2000
"1447 Gullspång","multi-dwelling and commercial buildings","residential","53",2000
"1447 Gullspång","industrial buildings","residential",NA,2000
"1447 Gullspång","total","residential","194",2000
"1452 Tranemo","one- or two dwelling buildings","residential","319",2000
"1452 Tranemo","multi-dwelling and commercial buildings","residential","82",2000
"1452 Tranemo","industrial buildings","residential",NA,2000
"1452 Tranemo","total","residential","401",2000
"1460 Bengtsfors","one- or two dwelling buildings","residential","254",2000
"1460 Bengtsfors","multi-dwelling and commercial buildings","residential","116",2000
"1460 Bengtsfors","industrial buildings","residential",NA,2000
"1460 Bengtsfors","total","residential","369",2000
"1461 Mellerud","one- or two dwelling buildings","residential","189",2000
"1461 Mellerud","multi-dwelling and commercial buildings","residential","74",2000
"1461 Mellerud","industrial buildings","residential",NA,2000
"1461 Mellerud","total","residential","263",2000
"1462 Lilla Edet","one- or two dwelling buildings","residential","232",2000
"1462 Lilla Edet","multi-dwelling and commercial buildings","residential","100",2000
"1462 Lilla Edet","industrial buildings","residential",NA,2000
"1462 Lilla Edet","total","residential","332",2000
"1463 Mark","one- or two dwelling buildings","residential","649",2000
"1463 Mark","multi-dwelling and commercial buildings","residential","276",2000
"1463 Mark","industrial buildings","residential",NA,2000
"1463 Mark","total","residential","925",2000
"1465 Svenljunga","one- or two dwelling buildings","residential","252",2000
"1465 Svenljunga","multi-dwelling and commercial buildings","residential","50",2000
"1465 Svenljunga","industrial buildings","residential",NA,2000
"1465 Svenljunga","total","residential","302",2000
"1466 Herrljunga","one- or two dwelling buildings","residential","170",2000
"1466 Herrljunga","multi-dwelling and commercial buildings","residential","71",2000
"1466 Herrljunga","industrial buildings","residential",NA,2000
"1466 Herrljunga","total","residential","241",2000
"1470 Vara","one- or two dwelling buildings","residential","311",2000
"1470 Vara","multi-dwelling and commercial buildings","residential","108",2000
"1470 Vara","industrial buildings","residential",NA,2000
"1470 Vara","total","residential","420",2000
"1471 Götene","one- or two dwelling buildings","residential","283",2000
"1471 Götene","multi-dwelling and commercial buildings","residential","90",2000
"1471 Götene","industrial buildings","residential",NA,2000
"1471 Götene","total","residential","373",2000
"1472 Tibro","one- or two dwelling buildings","residential","275",2000
"1472 Tibro","multi-dwelling and commercial buildings","residential","129",2000
"1472 Tibro","industrial buildings","residential",NA,2000
"1472 Tibro","total","residential","405",2000
"1473 Töreboda","one- or two dwelling buildings","residential","167",2000
"1473 Töreboda","multi-dwelling and commercial buildings","residential","97",2000
"1473 Töreboda","industrial buildings","residential",NA,2000
"1473 Töreboda","total","residential","264",2000
"1480 Göteborg","one- or two dwelling buildings","residential","5825",2000
"1480 Göteborg","multi-dwelling and commercial buildings","residential","12428",2000
"1480 Göteborg","industrial buildings","residential",NA,2000
"1480 Göteborg","total","residential","18253",2000
"1481 Mölndal","one- or two dwelling buildings","residential","1237",2000
"1481 Mölndal","multi-dwelling and commercial buildings","residential","901",2000
"1481 Mölndal","industrial buildings","residential",NA,2000
"1481 Mölndal","total","residential","2138",2000
"1482 Kungälv","one- or two dwelling buildings","residential","645",2000
"1482 Kungälv","multi-dwelling and commercial buildings","residential","418",2000
"1482 Kungälv","industrial buildings","residential",NA,2000
"1482 Kungälv","total","residential","1063",2000
"1484 Lysekil","one- or two dwelling buildings","residential","369",2000
"1484 Lysekil","multi-dwelling and commercial buildings","residential","195",2000
"1484 Lysekil","industrial buildings","residential",NA,2000
"1484 Lysekil","total","residential","564",2000
"1485 Uddevalla","one- or two dwelling buildings","residential","736",2000
