"nuts","year","value","level","indicator","type.of.building"
"482","2020",2790,"laucode","bldn_sec","all"
"482","2021",2805,"laucode","bldn_sec","all"
"482","2022",2826,"laucode","bldn_sec","all"
"482","2023",2843,"laucode","bldn_sec","all"
"482","2024",2871,"laucode","bldn_sec","all"
"483","1998",1917,"laucode","bldn_sec","all"
"483","1999",1902,"laucode","bldn_sec","all"
"483","2000",1889,"laucode","bldn_sec","all"
"483","2001",1887,"laucode","bldn_sec","all"
"483","2002",1874,"laucode","bldn_sec","all"
"483","2003",1892,"laucode","bldn_sec","all"
"483","2004",1902,"laucode","bldn_sec","all"
"483","2005",1873,"laucode","bldn_sec","all"
"483","2006",1899,"laucode","bldn_sec","all"
"483","2007",1868,"laucode","bldn_sec","all"
"483","2008",1866,"laucode","bldn_sec","all"
"483","2009",1906,"laucode","bldn_sec","all"
"483","2010",1865,"laucode","bldn_sec","all"
"483","2011",1872,"laucode","bldn_sec","all"
"483","2012",1908,"laucode","bldn_sec","all"
"483","2013",1906,"laucode","bldn_sec","all"
"483","2014",1943,"laucode","bldn_sec","all"
"483","2015",1977,"laucode","bldn_sec","all"
"483","2016",2015,"laucode","bldn_sec","all"
"483","2017",1990,"laucode","bldn_sec","all"
"483","2018",2081,"laucode","bldn_sec","all"
"483","2019",2079,"laucode","bldn_sec","all"
"483","2020",2086,"laucode","bldn_sec","all"
"483","2021",2075,"laucode","bldn_sec","all"
"483","2022",2077,"laucode","bldn_sec","all"
"483","2023",2080,"laucode","bldn_sec","all"
"483","2024",2124,"laucode","bldn_sec","all"
"484","1998",3728,"laucode","bldn_sec","all"
"484","1999",3698,"laucode","bldn_sec","all"
"484","2000",3717,"laucode","bldn_sec","all"
"484","2001",3623,"laucode","bldn_sec","all"
"484","2002",3657,"laucode","bldn_sec","all"
"484","2003",3704,"laucode","bldn_sec","all"
"484","2004",3637,"laucode","bldn_sec","all"
"484","2005",3544,"laucode","bldn_sec","all"
"484","2006",3492,"laucode","bldn_sec","all"
"484","2007",3418,"laucode","bldn_sec","all"
"484","2008",3366,"laucode","bldn_sec","all"
"484","2009",3332,"laucode","bldn_sec","all"
"484","2010",3278,"laucode","bldn_sec","all"
"484","2011",3262,"laucode","bldn_sec","all"
"484","2012",3250,"laucode","bldn_sec","all"
"484","2013",3269,"laucode","bldn_sec","all"
"484","2014",3211,"laucode","bldn_sec","all"
"484","2015",3127,"laucode","bldn_sec","all"
"484","2016",3209,"laucode","bldn_sec","all"
"484","2017",3223,"laucode","bldn_sec","all"
"484","2018",3301,"laucode","bldn_sec","all"
"484","2019",3318,"laucode","bldn_sec","all"
"484","2020",3240,"laucode","bldn_sec","all"
"484","2021",3231,"laucode","bldn_sec","all"
"484","2022",3223,"laucode","bldn_sec","all"
"484","2023",3178,"laucode","bldn_sec","all"
"484","2024",3246,"laucode","bldn_sec","all"
"486","1998",3331,"laucode","bldn_sec","all"
"486","1999",3308,"laucode","bldn_sec","all"
"486","2000",3295,"laucode","bldn_sec","all"
"486","2001",3249,"laucode","bldn_sec","all"
"486","2002",3202,"laucode","bldn_sec","all"
"486","2003",3225,"laucode","bldn_sec","all"
"486","2004",3191,"laucode","bldn_sec","all"
"486","2005",3143,"laucode","bldn_sec","all"
"486","2006",3153,"laucode","bldn_sec","all"
"486","2007",3135,"laucode","bldn_sec","all"
"486","2008",3154,"laucode","bldn_sec","all"
"486","2009",3208,"laucode","bldn_sec","all"
"486","2010",3176,"laucode","bldn_sec","all"
"486","2011",3241,"laucode","bldn_sec","all"
"486","2012",3186,"laucode","bldn_sec","all"
"486","2013",3181,"laucode","bldn_sec","all"
"486","2014",3197,"laucode","bldn_sec","all"
"486","2015",3196,"laucode","bldn_sec","all"
"486","2016",3246,"laucode","bldn_sec","all"
"486","2017",3244,"laucode","bldn_sec","all"
"486","2018",3273,"laucode","bldn_sec","all"
"486","2019",3260,"laucode","bldn_sec","all"
"486","2020",3292,"laucode","bldn_sec","all"
"486","2021",3308,"laucode","bldn_sec","all"
"486","2022",3347,"laucode","bldn_sec","all"
"486","2023",3342,"laucode","bldn_sec","all"
"486","2024",3420,"laucode","bldn_sec","all"
"488","1998",1560,"laucode","bldn_sec","all"
"488","1999",1610,"laucode","bldn_sec","all"
"488","2000",1605,"laucode","bldn_sec","all"
"488","2001",1508,"laucode","bldn_sec","all"
"488","2002",1488,"laucode","bldn_sec","all"
"488","2003",1535,"laucode","bldn_sec","all"
"488","2004",1526,"laucode","bldn_sec","all"
"488","2005",1538,"laucode","bldn_sec","all"
"488","2006",1604,"laucode","bldn_sec","all"
"488","2007",1659,"laucode","bldn_sec","all"
"488","2008",1635,"laucode","bldn_sec","all"
"488","2009",1660,"laucode","bldn_sec","all"
"488","2010",1670,"laucode","bldn_sec","all"
"488","2011",1667,"laucode","bldn_sec","all"
"488","2012",1679,"laucode","bldn_sec","all"
"488","2013",1697,"laucode","bldn_sec","all"
"488","2014",1726,"laucode","bldn_sec","all"
"488","2015",1713,"laucode","bldn_sec","all"
"488","2016",1698,"laucode","bldn_sec","all"
"488","2017",1740,"laucode","bldn_sec","all"
"488","2018",1863,"laucode","bldn_sec","all"
"488","2019",1868,"laucode","bldn_sec","all"
"488","2020",1869,"laucode","bldn_sec","all"
"488","2021",1862,"laucode","bldn_sec","all"
"488","2022",1871,"laucode","bldn_sec","all"
"488","2023",1887,"laucode","bldn_sec","all"
"488","2024",1905,"laucode","bldn_sec","all"
"509","1998",640,"laucode","bldn_sec","all"
"509","1999",635,"laucode","bldn_sec","all"
"509","2000",641,"laucode","bldn_sec","all"
"509","2001",644,"laucode","bldn_sec","all"
"509","2002",650,"laucode","bldn_sec","all"
"509","2003",661,"laucode","bldn_sec","all"
"509","2004",667,"laucode","bldn_sec","all"
"509","2005",672,"laucode","bldn_sec","all"
"509","2006",661,"laucode","bldn_sec","all"
"509","2007",665,"laucode","bldn_sec","all"
"509","2008",689,"laucode","bldn_sec","all"
"509","2009",682,"laucode","bldn_sec","all"
"509","2010",695,"laucode","bldn_sec","all"
"509","2011",675,"laucode","bldn_sec","all"
"509","2012",688,"laucode","bldn_sec","all"
"509","2013",706,"laucode","bldn_sec","all"
"509","2014",701,"laucode","bldn_sec","all"
"509","2015",702,"laucode","bldn_sec","all"
"509","2016",711,"laucode","bldn_sec","all"
"509","2017",688,"laucode","bldn_sec","all"
"509","2018",717,"laucode","bldn_sec","all"
"509","2019",728,"laucode","bldn_sec","all"
"509","2020",723,"laucode","bldn_sec","all"
"509","2021",723,"laucode","bldn_sec","all"
"509","2022",726,"laucode","bldn_sec","all"
"509","2023",730,"laucode","bldn_sec","all"
"509","2024",750,"laucode","bldn_sec","all"
"512","1998",878,"laucode","bldn_sec","all"
"512","1999",885,"laucode","bldn_sec","all"
"512","2000",896,"laucode","bldn_sec","all"
"512","2001",898,"laucode","bldn_sec","all"
"512","2002",898,"laucode","bldn_sec","all"
"512","2003",915,"laucode","bldn_sec","all"
"512","2004",935,"laucode","bldn_sec","all"
"512","2005",941,"laucode","bldn_sec","all"
"512","2006",947,"laucode","bldn_sec","all"
"512","2007",955,"laucode","bldn_sec","all"
"512","2008",962,"laucode","bldn_sec","all"
