"Location","Year","Indicator","dwellings"
"....Narva-Jõesuu city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1134
"....Narva-Jõesuu city as a settlement unit","2011","Total number of rooms",3316
"....Narva-Jõesuu city as a settlement unit","2011","Average number of rooms per inhabitant",1.37
"....Narva-Jõesuu city as a settlement unit","2021","Number of dwellings",1164
"....Narva-Jõesuu city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1155
"....Narva-Jõesuu city as a settlement unit","2021","Total number of rooms",3373
"....Narva-Jõesuu city as a settlement unit","2021","Average number of rooms per inhabitant",1.44
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2000","Number of dwellings",1074
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1071
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2000","Total number of rooms",2536
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2000","Average number of rooms per inhabitant",1.13
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2011","Number of dwellings",686
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",686
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2011","Total number of rooms",1915
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2011","Average number of rooms per inhabitant",1.26
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2021","Number of dwellings",685
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",672
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2021","Total number of rooms",1761
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit","2021","Average number of rooms per inhabitant",1.14
"..Sillamäe city","2000","Number of dwellings",7045
"..Sillamäe city","2000","Number of dwellings for which the number of rooms was recorded",7043
"..Sillamäe city","2000","Total number of rooms",15469
"..Sillamäe city","2000","Average number of rooms per inhabitant",0.92
"..Sillamäe city","2011","Number of dwellings",6648
"..Sillamäe city","2011","Number of dwellings for which the number of rooms was recorded",6648
"..Sillamäe city","2011","Total number of rooms",14805
"..Sillamäe city","2011","Average number of rooms per inhabitant",1.07
"..Sillamäe city","2021","Number of dwellings",6229
"..Sillamäe city","2021","Number of dwellings for which the number of rooms was recorded",6226
"..Sillamäe city","2021","Total number of rooms",13954
"..Sillamäe city","2021","Average number of rooms per inhabitant",1.15
"..Toila rural municipality","2000","Number of dwellings",2033
"..Toila rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2032
"..Toila rural municipality","2000","Total number of rooms",5893
"..Toila rural municipality","2000","Average number of rooms per inhabitant",1.2
"..Toila rural municipality","2011","Number of dwellings",1924
"..Toila rural municipality","2011","Number of dwellings for which the number of rooms was recorded",1921
"..Toila rural municipality","2011","Total number of rooms",6336
"..Toila rural municipality","2011","Average number of rooms per inhabitant",1.4
"..Toila rural municipality","2021","Number of dwellings",1874
"..Toila rural municipality","2021","Number of dwellings for which the number of rooms was recorded",1861
"..Toila rural municipality","2021","Total number of rooms",6035
"..Toila rural municipality","2021","Average number of rooms per inhabitant",1.4
"JÕGEVA COUNTY","2000","Number of dwellings",14015
"JÕGEVA COUNTY","2000","Number of dwellings for which the number of rooms was recorded",13995
"JÕGEVA COUNTY","2000","Total number of rooms",41669
"JÕGEVA COUNTY","2000","Average number of rooms per inhabitant",1.17
"JÕGEVA COUNTY","2011","Number of dwellings",12374
"JÕGEVA COUNTY","2011","Number of dwellings for which the number of rooms was recorded",12361
"JÕGEVA COUNTY","2011","Total number of rooms",40723
"JÕGEVA COUNTY","2011","Average number of rooms per inhabitant",1.4
"JÕGEVA COUNTY","2021","Number of dwellings",12257
"JÕGEVA COUNTY","2021","Number of dwellings for which the number of rooms was recorded",12146
"JÕGEVA COUNTY","2021","Total number of rooms",38785
"JÕGEVA COUNTY","2021","Average number of rooms per inhabitant",1.44
"..Jõgeva county: city settlement region","2000","Number of dwellings",0
"..Jõgeva county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",0
"..Jõgeva county: city settlement region","2000","Total number of rooms",0
"..Jõgeva county: city settlement region","2000","Average number of rooms per inhabitant",0
"..Jõgeva county: city settlement region","2011","Number of dwellings",0
"..Jõgeva county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",0
"..Jõgeva county: city settlement region","2011","Total number of rooms",0
"..Jõgeva county: city settlement region","2011","Average number of rooms per inhabitant",0
"..Jõgeva county: city settlement region","2021","Number of dwellings",0
"..Jõgeva county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",0
"..Jõgeva county: city settlement region","2021","Total number of rooms",0
"..Jõgeva county: city settlement region","2021","Average number of rooms per inhabitant",0
"..Jõgeva county: town settlement region","2000","Number of dwellings",2905
"..Jõgeva county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",2897
"..Jõgeva county: town settlement region","2000","Total number of rooms",7697
"..Jõgeva county: town settlement region","2000","Average number of rooms per inhabitant",1.12
"..Jõgeva county: town settlement region","2011","Number of dwellings",2684
"..Jõgeva county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",2684
"..Jõgeva county: town settlement region","2011","Total number of rooms",7594
"..Jõgeva county: town settlement region","2011","Average number of rooms per inhabitant",1.29
"..Jõgeva county: town settlement region","2021","Number of dwellings",2601
"..Jõgeva county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",2593
"..Jõgeva county: town settlement region","2021","Total number of rooms",7210
"..Jõgeva county: town settlement region","2021","Average number of rooms per inhabitant",1.3
"..Jõgeva county: rural settlement region","2000","Number of dwellings",11110
"..Jõgeva county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",11098
"..Jõgeva county: rural settlement region","2000","Total number of rooms",33972
"..Jõgeva county: rural settlement region","2000","Average number of rooms per inhabitant",1.19
"..Jõgeva county: rural settlement region","2011","Number of dwellings",9690
"..Jõgeva county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",9677
"..Jõgeva county: rural settlement region","2011","Total number of rooms",33129
"..Jõgeva county: rural settlement region","2011","Average number of rooms per inhabitant",1.43
"..Jõgeva county: rural settlement region","2021","Number of dwellings",9656
"..Jõgeva county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",9553
"..Jõgeva county: rural settlement region","2021","Total number of rooms",31575
"..Jõgeva county: rural settlement region","2021","Average number of rooms per inhabitant",1.48
"..Jõgeva rural municipality","2000","Number of dwellings",6606
"..Jõgeva rural municipality","2000","Number of dwellings for which the number of rooms was recorded",6593
"..Jõgeva rural municipality","2000","Total number of rooms",19091
"..Jõgeva rural municipality","2000","Average number of rooms per inhabitant",1.15
"..Jõgeva rural municipality","2011","Number of dwellings",5887
"..Jõgeva rural municipality","2011","Number of dwellings for which the number of rooms was recorded",5880
"..Jõgeva rural municipality","2011","Total number of rooms",18614
"..Jõgeva rural municipality","2011","Average number of rooms per inhabitant",1.35
"..Jõgeva rural municipality","2021","Number of dwellings",5810
"..Jõgeva rural municipality","2021","Number of dwellings for which the number of rooms was recorded",5783
"..Jõgeva rural municipality","2021","Total number of rooms",17958
"..Jõgeva rural municipality","2021","Average number of rooms per inhabitant",1.39
"....Jõgeva city as a settlement unit","2000","Number of dwellings",2660
"....Jõgeva city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",2652
"....Jõgeva city as a settlement unit","2000","Total number of rooms",7028
"....Jõgeva city as a settlement unit","2000","Average number of rooms per inhabitant",1.11
"....Jõgeva city as a settlement unit","2011","Number of dwellings",2452
"....Jõgeva city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",2452
