"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"peipsiaare vald",2024,"all","EE008","EE008",586,"number",39
"peipsiaare vald",2025,"all","EE008","EE008",586,"number",47
"parnu linn",2003,"all","EE004","EE004",624,"number",59
"parnu linn",2004,"all","EE004","EE004",624,"number",107
"parnu linn",2005,"all","EE004","EE004",624,"number",163
"parnu linn",2006,"all","EE004","EE004",624,"number",209
"parnu linn",2007,"all","EE004","EE004",624,"number",1155
"parnu linn",2008,"all","EE004","EE004",624,"number",682
"parnu linn",2009,"all","EE004","EE004",624,"number",423
"parnu linn",2010,"all","EE004","EE004",624,"number",623
"parnu linn",2011,"all","EE004","EE004",624,"number",616
"parnu linn",2012,"all","EE004","EE004",624,"number",784
"parnu linn",2013,"all","EE004","EE004",624,"number",857
"parnu linn",2014,"all","EE004","EE004",624,"number",915
"parnu linn",2015,"all","EE004","EE004",624,"number",935
"parnu linn",2016,"all","EE004","EE004",624,"number",1037
"parnu linn",2017,"all","EE004","EE004",624,"number",1164
"parnu linn",2018,"all","EE004","EE004",624,"number",1019
"parnu linn",2019,"all","EE004","EE004",624,"number",1104
"parnu linn",2020,"all","EE004","EE004",624,"number",1110
"parnu linn",2021,"all","EE004","EE004",624,"number",1451
"parnu linn",2022,"all","EE004","EE004",624,"number",1158
"parnu linn",2023,"all","EE004","EE004",624,"number",1022
"parnu linn",2024,"all","EE004","EE004",624,"number",892
"parnu linn",2025,"all","EE004","EE004",624,"number",969
"pohjaparnumaa vald",2003,"all","EE004","EE004",638,"number",7
"pohjaparnumaa vald",2004,"all","EE004","EE004",638,"number",18
"pohjaparnumaa vald",2005,"all","EE004","EE004",638,"number",16
"pohjaparnumaa vald",2006,"all","EE004","EE004",638,"number",21
"pohjaparnumaa vald",2007,"all","EE004","EE004",638,"number",117
"pohjaparnumaa vald",2008,"all","EE004","EE004",638,"number",100
"pohjaparnumaa vald",2009,"all","EE004","EE004",638,"number",37
"pohjaparnumaa vald",2010,"all","EE004","EE004",638,"number",59
"pohjaparnumaa vald",2011,"all","EE004","EE004",638,"number",77
"pohjaparnumaa vald",2012,"all","EE004","EE004",638,"number",70
"pohjaparnumaa vald",2013,"all","EE004","EE004",638,"number",98
"pohjaparnumaa vald",2014,"all","EE004","EE004",638,"number",108
"pohjaparnumaa vald",2015,"all","EE004","EE004",638,"number",117
"pohjaparnumaa vald",2016,"all","EE004","EE004",638,"number",136
"pohjaparnumaa vald",2017,"all","EE004","EE004",638,"number",126
"pohjaparnumaa vald",2018,"all","EE004","EE004",638,"number",125
"pohjaparnumaa vald",2019,"all","EE004","EE004",638,"number",129
"pohjaparnumaa vald",2020,"all","EE004","EE004",638,"number",126
"pohjaparnumaa vald",2021,"all","EE004","EE004",638,"number",166
"pohjaparnumaa vald",2022,"all","EE004","EE004",638,"number",121
"pohjaparnumaa vald",2023,"all","EE004","EE004",638,"number",129
"pohjaparnumaa vald",2024,"all","EE004","EE004",638,"number",130
"pohjaparnumaa vald",2025,"all","EE004","EE004",638,"number",118
"pohjasakala vald",2003,"all","EE008","EE008",615,"number",28
"pohjasakala vald",2004,"all","EE008","EE008",615,"number",88
"pohjasakala vald",2005,"all","EE008","EE008",615,"number",89
"pohjasakala vald",2006,"all","EE008","EE008",615,"number",85
"pohjasakala vald",2007,"all","EE008","EE008",615,"number",99
"pohjasakala vald",2008,"all","EE008","EE008",615,"number",69
"pohjasakala vald",2009,"all","EE008","EE008",615,"number",41
"pohjasakala vald",2010,"all","EE008","EE008",615,"number",59
"pohjasakala vald",2011,"all","EE008","EE008",615,"number",60
"pohjasakala vald",2012,"all","EE008","EE008",615,"number",63
"pohjasakala vald",2013,"all","EE008","EE008",615,"number",83
"pohjasakala vald",2014,"all","EE008","EE008",615,"number",79
"pohjasakala vald",2015,"all","EE008","EE008",615,"number",94
"pohjasakala vald",2016,"all","EE008","EE008",615,"number",103
"pohjasakala vald",2017,"all","EE008","EE008",615,"number",98
"pohjasakala vald",2018,"all","EE008","EE008",615,"number",95
"pohjasakala vald",2019,"all","EE008","EE008",615,"number",126
"pohjasakala vald",2020,"all","EE008","EE008",615,"number",99
"pohjasakala vald",2021,"all","EE008","EE008",615,"number",129
"pohjasakala vald",2022,"all","EE008","EE008",615,"number",104
"pohjasakala vald",2023,"all","EE008","EE008",615,"number",62
"pohjasakala vald",2024,"all","EE008","EE008",615,"number",96
"pohjasakala vald",2025,"all","EE008","EE008",615,"number",98
"poltsamaa vald",2003,"all","EE008","EE008",618,"number",58
"poltsamaa vald",2004,"all","EE008","EE008",618,"number",113
"poltsamaa vald",2005,"all","EE008","EE008",618,"number",120
"poltsamaa vald",2006,"all","EE008","EE008",618,"number",129
"poltsamaa vald",2007,"all","EE008","EE008",618,"number",151
"poltsamaa vald",2008,"all","EE008","EE008",618,"number",92
"poltsamaa vald",2009,"all","EE008","EE008",618,"number",58
"poltsamaa vald",2010,"all","EE008","EE008",618,"number",49
"poltsamaa vald",2011,"all","EE008","EE008",618,"number",90
"poltsamaa vald",2012,"all","EE008","EE008",618,"number",92
"poltsamaa vald",2013,"all","EE008","EE008",618,"number",123
"poltsamaa vald",2014,"all","EE008","EE008",618,"number",132
"poltsamaa vald",2015,"all","EE008","EE008",618,"number",104
"poltsamaa vald",2016,"all","EE008","EE008",618,"number",115
"poltsamaa vald",2017,"all","EE008","EE008",618,"number",133
"poltsamaa vald",2018,"all","EE008","EE008",618,"number",133
"poltsamaa vald",2019,"all","EE008","EE008",618,"number",149
"poltsamaa vald",2020,"all","EE008","EE008",618,"number",133
"poltsamaa vald",2021,"all","EE008","EE008",618,"number",173
"poltsamaa vald",2022,"all","EE008","EE008",618,"number",151
"poltsamaa vald",2023,"all","EE008","EE008",618,"number",119
"poltsamaa vald",2024,"all","EE008","EE008",618,"number",122
"poltsamaa vald",2025,"all","EE008","EE008",618,"number",148
"polva vald",2003,"all","EE008","EE008",622,"number",91
"polva vald",2004,"all","EE008","EE008",622,"number",155
"polva vald",2005,"all","EE008","EE008",622,"number",156
"polva vald",2006,"all","EE008","EE008",622,"number",198
"polva vald",2007,"all","EE008","EE008",622,"number",204
"polva vald",2008,"all","EE008","EE008",622,"number",106
"polva vald",2009,"all","EE008","EE008",622,"number",55
"polva vald",2010,"all","EE008","EE008",622,"number",87
"polva vald",2011,"all","EE008","EE008",622,"number",100
"polva vald",2012,"all","EE008","EE008",622,"number",84
"polva vald",2013,"all","EE008","EE008",622,"number",101
"polva vald",2014,"all","EE008","EE008",622,"number",147
"polva vald",2015,"all","EE008","EE008",622,"number",154
"polva vald",2016,"all","EE008","EE008",622,"number",155
"polva vald",2017,"all","EE008","EE008",622,"number",129
"polva vald",2018,"all","EE008","EE008",622,"number",162
"polva vald",2019,"all","EE008","EE008",622,"number",171
"polva vald",2020,"all","EE008","EE008",622,"number",180
"polva vald",2021,"all","EE008","EE008",622,"number",205
"polva vald",2022,"all","EE008","EE008",622,"number",191
"polva vald",2023,"all","EE008","EE008",622,"number",127
"polva vald",2024,"all","EE008","EE008",622,"number",141
"polva vald",2025,"all","EE008","EE008",622,"number",180
"raasiku vald",2003,"all","EE001","EE001",651,"number",16
"raasiku vald",2004,"all","EE001","EE001",651,"number",52
"raasiku vald",2005,"all","EE001","EE001",651,"number",50
"raasiku vald",2006,"all","EE001","EE001",651,"number",54
"raasiku vald",2007,"all","EE001","EE001",651,"number",68
"raasiku vald",2008,"all","EE001","EE001",651,"number",24
"raasiku vald",2009,"all","EE001","EE001",651,"number",18
"raasiku vald",2010,"all","EE001","EE001",651,"number",26
"raasiku vald",2011,"all","EE001","EE001",651,"number",42
"raasiku vald",2012,"all","EE001","EE001",651,"number",32
"raasiku vald",2013,"all","EE001","EE001",651,"number",39
"raasiku vald",2014,"all","EE001","EE001",651,"number",47
"raasiku vald",2015,"all","EE001","EE001",651,"number",49
"raasiku vald",2016,"all","EE001","EE001",651,"number",71
"raasiku vald",2017,"all","EE001","EE001",651,"number",69
"raasiku vald",2018,"all","EE001","EE001",651,"number",66
"raasiku vald",2019,"all","EE001","EE001",651,"number",67
"raasiku vald",2020,"all","EE001","EE001",651,"number",89
"raasiku vald",2021,"all","EE001","EE001",651,"number",101
"raasiku vald",2022,"all","EE001","EE001",651,"number",67
"raasiku vald",2023,"all","EE001","EE001",651,"number",64
"raasiku vald",2024,"all","EE001","EE001",651,"number",70
"raasiku vald",2025,"all","EE001","EE001",651,"number",86
"rae vald",2003,"all","EE001","EE001",653,"number",42
"rae vald",2004,"all","EE001","EE001",653,"number",143
"rae vald",2005,"all","EE001","EE001",653,"number",637
"rae vald",2006,"all","EE001","EE001",653,"number",706
"rae vald",2007,"all","EE001","EE001",653,"number",569
"rae vald",2008,"all","EE001","EE001",653,"number",357
"rae vald",2009,"all","EE001","EE001",653,"number",212
"rae vald",2010,"all","EE001","EE001",653,"number",195
"rae vald",2011,"all","EE001","EE001",653,"number",232
"rae vald",2012,"all","EE001","EE001",653,"number",291
"rae vald",2013,"all","EE001","EE001",653,"number",305
"rae vald",2014,"all","EE001","EE001",653,"number",475
"rae vald",2015,"all","EE001","EE001",653,"number",506
"rae vald",2016,"all","EE001","EE001",653,"number",431
"rae vald",2017,"all","EE001","EE001",653,"number",490
"rae vald",2018,"all","EE001","EE001",653,"number",687
"rae vald",2019,"all","EE001","EE001",653,"number",630
"rae vald",2020,"all","EE001","EE001",653,"number",689
"rae vald",2021,"all","EE001","EE001",653,"number",647
"rae vald",2022,"all","EE001","EE001",653,"number",525
"rae vald",2023,"all","EE001","EE001",653,"number",482
"rae vald",2024,"all","EE001","EE001",653,"number",650
"rae vald",2025,"all","EE001","EE001",653,"number",604
"rakvere linn",2003,"all","EE009","EE006",663,"number",132
"rakvere linn",2004,"all","EE009","EE006",663,"number",285
"rakvere linn",2005,"all","EE009","EE006",663,"number",360
"rakvere linn",2006,"all","EE009","EE006",663,"number",388
"rakvere linn",2007,"all","EE009","EE006",663,"number",312
"rakvere linn",2008,"all","EE009","EE006",663,"number",200
"rakvere linn",2009,"all","EE009","EE006",663,"number",138
"rakvere linn",2010,"all","EE009","EE006",663,"number",155
"rakvere linn",2011,"all","EE009","EE006",663,"number",156
"rakvere linn",2012,"all","EE009","EE006",663,"number",187
"rakvere linn",2013,"all","EE009","EE006",663,"number",256
"rakvere linn",2014,"all","EE009","EE006",663,"number",279
"rakvere linn",2015,"all","EE009","EE006",663,"number",282
"rakvere linn",2016,"all","EE009","EE006",663,"number",283
"rakvere linn",2017,"all","EE009","EE006",663,"number",307
"rakvere linn",2018,"all","EE009","EE006",663,"number",293
"rakvere linn",2019,"all","EE009","EE006",663,"number",291
"rakvere linn",2020,"all","EE009","EE006",663,"number",256
"rakvere linn",2021,"all","EE009","EE006",663,"number",345
"rakvere linn",2022,"all","EE009","EE006",663,"number",290
"rakvere linn",2023,"all","EE009","EE006",663,"number",217
"rakvere linn",2024,"all","EE009","EE006",663,"number",278
"rakvere linn",2025,"all","EE009","EE006",663,"number",259
"rakvere vald",2003,"all","EE009","EE006",661,"number",25
"rakvere vald",2004,"all","EE009","EE006",661,"number",45
"rakvere vald",2005,"all","EE009","EE006",661,"number",115
"rakvere vald",2006,"all","EE009","EE006",661,"number",169
"rakvere vald",2007,"all","EE009","EE006",661,"number",113
"rakvere vald",2008,"all","EE009","EE006",661,"number",76
"rakvere vald",2009,"all","EE009","EE006",661,"number",38
"rakvere vald",2010,"all","EE009","EE006",661,"number",37
"rakvere vald",2011,"all","EE009","EE006",661,"number",46
"rakvere vald",2012,"all","EE009","EE006",661,"number",48
"rakvere vald",2013,"all","EE009","EE006",661,"number",65
"rakvere vald",2014,"all","EE009","EE006",661,"number",70
"rakvere vald",2015,"all","EE009","EE006",661,"number",80
"rakvere vald",2016,"all","EE009","EE006",661,"number",81
"rakvere vald",2017,"all","EE009","EE006",661,"number",75
"rakvere vald",2018,"all","EE009","EE006",661,"number",92
"rakvere vald",2019,"all","EE009","EE006",661,"number",78
"rakvere vald",2020,"all","EE009","EE006",661,"number",75
"rakvere vald",2021,"all","EE009","EE006",661,"number",88
"rakvere vald",2022,"all","EE009","EE006",661,"number",86
"rakvere vald",2023,"all","EE009","EE006",661,"number",73
"rakvere vald",2024,"all","EE009","EE006",661,"number",71
"rakvere vald",2025,"all","EE009","EE006",661,"number",60
"rapla vald",2003,"all","EE009","EE006",668,"number",58
"rapla vald",2004,"all","EE009","EE006",668,"number",154
"rapla vald",2005,"all","EE009","EE006",668,"number",205
"rapla vald",2006,"all","EE009","EE006",668,"number",242
"rapla vald",2007,"all","EE009","EE006",668,"number",186
"rapla vald",2008,"all","EE009","EE006",668,"number",116
"rapla vald",2009,"all","EE009","EE006",668,"number",48
"rapla vald",2010,"all","EE009","EE006",668,"number",71
"rapla vald",2011,"all","EE009","EE006",668,"number",75
"rapla vald",2012,"all","EE009","EE006",668,"number",104
"rapla vald",2013,"all","EE009","EE006",668,"number",125
"rapla vald",2014,"all","EE009","EE006",668,"number",139
"rapla vald",2015,"all","EE009","EE006",668,"number",164
"rapla vald",2016,"all","EE009","EE006",668,"number",167
"rapla vald",2017,"all","EE009","EE006",668,"number",188
"rapla vald",2018,"all","EE009","EE006",668,"number",149
"rapla vald",2019,"all","EE009","EE006",668,"number",186
"rapla vald",2020,"all","EE009","EE006",668,"number",165
"rapla vald",2021,"all","EE009","EE006",668,"number",222
"rapla vald",2022,"all","EE009","EE006",668,"number",224
"rapla vald",2023,"all","EE009","EE006",668,"number",143
"rapla vald",2024,"all","EE009","EE006",668,"number",152
"rapla vald",2025,"all","EE009","EE006",668,"number",174
"ruhnu vald",2003,"all","EE004","EE004",689,"number",0
"ruhnu vald",2004,"all","EE004","EE004",689,"number",0
"ruhnu vald",2005,"all","EE004","EE004",689,"number",1
"ruhnu vald",2006,"all","EE004","EE004",689,"number",1
"ruhnu vald",2007,"all","EE004","EE004",689,"number",5
"ruhnu vald",2008,"all","EE004","EE004",689,"number",0
"ruhnu vald",2009,"all","EE004","EE004",689,"number",1
"ruhnu vald",2010,"all","EE004","EE004",689,"number",0
"ruhnu vald",2011,"all","EE004","EE004",689,"number",0
"ruhnu vald",2012,"all","EE004","EE004",689,"number",0
"ruhnu vald",2013,"all","EE004","EE004",689,"number",0
"ruhnu vald",2014,"all","EE004","EE004",689,"number",0
"ruhnu vald",2015,"all","EE004","EE004",689,"number",0
"ruhnu vald",2016,"all","EE004","EE004",689,"number",0
"ruhnu vald",2017,"all","EE004","EE004",689,"number",1
"ruhnu vald",2018,"all","EE004","EE004",689,"number",0
"ruhnu vald",2019,"all","EE004","EE004",689,"number",0
"ruhnu vald",2020,"all","EE004","EE004",689,"number",0
"ruhnu vald",2021,"all","EE004","EE004",689,"number",1
"ruhnu vald",2022,"all","EE004","EE004",689,"number",1
"ruhnu vald",2023,"all","EE004","EE004",689,"number",0
"ruhnu vald",2024,"all","EE004","EE004",689,"number",2
"ruhnu vald",2025,"all","EE004","EE004",689,"number",0
"rapina vald",2003,"all","EE008","EE008",708,"number",15
"rapina vald",2004,"all","EE008","EE008",708,"number",25
"rapina vald",2005,"all","EE008","EE008",708,"number",47
"rapina vald",2006,"all","EE008","EE008",708,"number",67
"rapina vald",2007,"all","EE008","EE008",708,"number",67
"rapina vald",2008,"all","EE008","EE008",708,"number",39
"rapina vald",2009,"all","EE008","EE008",708,"number",35
"rapina vald",2010,"all","EE008","EE008",708,"number",29
"rapina vald",2011,"all","EE008","EE008",708,"number",52
"rapina vald",2012,"all","EE008","EE008",708,"number",50
"rapina vald",2013,"all","EE008","EE008",708,"number",47
"rapina vald",2014,"all","EE008","EE008",708,"number",75
"rapina vald",2015,"all","EE008","EE008",708,"number",57
"rapina vald",2016,"all","EE008","EE008",708,"number",66
"rapina vald",2017,"all","EE008","EE008",708,"number",62
"rapina vald",2018,"all","EE008","EE008",708,"number",82
"rapina vald",2019,"all","EE008","EE008",708,"number",81
"rapina vald",2020,"all","EE008","EE008",708,"number",73
"rapina vald",2021,"all","EE008","EE008",708,"number",102
"rapina vald",2022,"all","EE008","EE008",708,"number",89
"rapina vald",2023,"all","EE008","EE008",708,"number",79
"rapina vald",2024,"all","EE008","EE008",708,"number",69
"rapina vald",2025,"all","EE008","EE008",708,"number",81
"rouge vald",2003,"all","EE008","EE008",698,"number",8
"rouge vald",2004,"all","EE008","EE008",698,"number",23
"rouge vald",2005,"all","EE008","EE008",698,"number",20
"rouge vald",2006,"all","EE008","EE008",698,"number",27
"rouge vald",2007,"all","EE008","EE008",698,"number",27
"rouge vald",2008,"all","EE008","EE008",698,"number",25
"rouge vald",2009,"all","EE008","EE008",698,"number",23
"rouge vald",2010,"all","EE008","EE008",698,"number",30
"rouge vald",2011,"all","EE008","EE008",698,"number",28
"rouge vald",2012,"all","EE008","EE008",698,"number",23
"rouge vald",2013,"all","EE008","EE008",698,"number",44
"rouge vald",2014,"all","EE008","EE008",698,"number",28
"rouge vald",2015,"all","EE008","EE008",698,"number",26
"rouge vald",2016,"all","EE008","EE008",698,"number",25
"rouge vald",2017,"all","EE008","EE008",698,"number",32
"rouge vald",2018,"all","EE008","EE008",698,"number",40
