"Year","Object","Location of the object","Indicator","Quarter","value"
"2011","..forest land","Järva county","Number of transactions","1st-4th quarters",201
"2011","..forest land","Järva county","Number of transactions","1st quarter",40
"2011","..forest land","Järva county","Number of transactions","2nd quarter",67
"2011","..forest land","Järva county","Number of transactions","3rd quarter",26
"2011","..forest land","Järva county","Number of transactions","4th quarter",68
"2011","..forest land","Järva county","Value of transactions, euros","1st-4th quarters",3925865
"2011","..forest land","Järva county","Value of transactions, euros","1st quarter",667049
"2011","..forest land","Järva county","Value of transactions, euros","2nd quarter",1185175
"2011","..forest land","Järva county","Value of transactions, euros","3rd quarter",580446
"2011","..forest land","Järva county","Value of transactions, euros","4th quarter",1493195
"2011","..forest land","Lääne county","Number of transactions","1st-4th quarters",186
"2011","..forest land","Lääne county","Number of transactions","1st quarter",41
"2011","..forest land","Lääne county","Number of transactions","2nd quarter",61
"2011","..forest land","Lääne county","Number of transactions","3rd quarter",57
"2011","..forest land","Lääne county","Number of transactions","4th quarter",27
"2011","..forest land","Lääne county","Value of transactions, euros","1st-4th quarters",3910396
"2011","..forest land","Lääne county","Value of transactions, euros","1st quarter",918883
"2011","..forest land","Lääne county","Value of transactions, euros","2nd quarter",1189862
"2011","..forest land","Lääne county","Value of transactions, euros","3rd quarter",1242387
"2011","..forest land","Lääne county","Value of transactions, euros","4th quarter",559264
"2011","..forest land","Lääne-Viru county","Number of transactions","1st-4th quarters",151
"2011","..forest land","Lääne-Viru county","Number of transactions","1st quarter",41
"2011","..forest land","Lääne-Viru county","Number of transactions","2nd quarter",56
"2011","..forest land","Lääne-Viru county","Number of transactions","3rd quarter",20
"2011","..forest land","Lääne-Viru county","Number of transactions","4th quarter",34
"2011","..forest land","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",2446024
"2011","..forest land","Lääne-Viru county","Value of transactions, euros","1st quarter",857163
"2011","..forest land","Lääne-Viru county","Value of transactions, euros","2nd quarter",900096
"2011","..forest land","Lääne-Viru county","Value of transactions, euros","3rd quarter",148297
"2011","..forest land","Lääne-Viru county","Value of transactions, euros","4th quarter",540468
"2011","..forest land","Põlva county","Number of transactions","1st-4th quarters",106
"2011","..forest land","Põlva county","Number of transactions","1st quarter",20
"2011","..forest land","Põlva county","Number of transactions","2nd quarter",35
"2011","..forest land","Põlva county","Number of transactions","3rd quarter",25
"2011","..forest land","Põlva county","Number of transactions","4th quarter",26
"2011","..forest land","Põlva county","Value of transactions, euros","1st-4th quarters",1254814
"2011","..forest land","Põlva county","Value of transactions, euros","1st quarter",NA
"2011","..forest land","Põlva county","Value of transactions, euros","2nd quarter",330542
"2011","..forest land","Põlva county","Value of transactions, euros","3rd quarter",300958
"2011","..forest land","Põlva county","Value of transactions, euros","4th quarter",353460
"2011","..forest land","Pärnu county","Number of transactions","1st-4th quarters",184
"2011","..forest land","Pärnu county","Number of transactions","1st quarter",25
"2011","..forest land","Pärnu county","Number of transactions","2nd quarter",50
"2011","..forest land","Pärnu county","Number of transactions","3rd quarter",45
"2011","..forest land","Pärnu county","Number of transactions","4th quarter",64
"2011","..forest land","Pärnu county","Value of transactions, euros","1st-4th quarters",4422748
"2011","..forest land","Pärnu county","Value of transactions, euros","1st quarter",722635
"2011","..forest land","Pärnu county","Value of transactions, euros","2nd quarter",1005618
"2011","..forest land","Pärnu county","Value of transactions, euros","3rd quarter",908450
"2011","..forest land","Pärnu county","Value of transactions, euros","4th quarter",1786045
"2011","..forest land","Pärnu","Number of transactions","1st-4th quarters",0
"2011","..forest land","Pärnu","Number of transactions","1st quarter",0
"2011","..forest land","Pärnu","Number of transactions","2nd quarter",0
"2011","..forest land","Pärnu","Number of transactions","3rd quarter",0
"2011","..forest land","Pärnu","Number of transactions","4th quarter",0
"2011","..forest land","Pärnu","Value of transactions, euros","1st-4th quarters",0
"2011","..forest land","Pärnu","Value of transactions, euros","1st quarter",0
"2011","..forest land","Pärnu","Value of transactions, euros","2nd quarter",0
"2011","..forest land","Pärnu","Value of transactions, euros","3rd quarter",0
"2011","..forest land","Pärnu","Value of transactions, euros","4th quarter",0
"2011","..forest land","Rapla county","Number of transactions","1st-4th quarters",150
"2011","..forest land","Rapla county","Number of transactions","1st quarter",33
"2011","..forest land","Rapla county","Number of transactions","2nd quarter",30
"2011","..forest land","Rapla county","Number of transactions","3rd quarter",41
"2011","..forest land","Rapla county","Number of transactions","4th quarter",46
"2011","..forest land","Rapla county","Value of transactions, euros","1st-4th quarters",3544865
"2011","..forest land","Rapla county","Value of transactions, euros","1st quarter",811139
"2011","..forest land","Rapla county","Value of transactions, euros","2nd quarter",428171
"2011","..forest land","Rapla county","Value of transactions, euros","3rd quarter",1006761
"2011","..forest land","Rapla county","Value of transactions, euros","4th quarter",1298794
"2011","..forest land","Saare county","Number of transactions","1st-4th quarters",479
"2011","..forest land","Saare county","Number of transactions","1st quarter",146
"2011","..forest land","Saare county","Number of transactions","2nd quarter",99
"2011","..forest land","Saare county","Number of transactions","3rd quarter",112
"2011","..forest land","Saare county","Number of transactions","4th quarter",122
"2011","..forest land","Saare county","Value of transactions, euros","1st-4th quarters",6598069
"2011","..forest land","Saare county","Value of transactions, euros","1st quarter",1622000
"2011","..forest land","Saare county","Value of transactions, euros","2nd quarter",1254608
"2011","..forest land","Saare county","Value of transactions, euros","3rd quarter",2092746
"2011","..forest land","Saare county","Value of transactions, euros","4th quarter",1628715
"2011","..forest land","Tartu county","Number of transactions","1st-4th quarters",91
"2011","..forest land","Tartu county","Number of transactions","1st quarter",21
"2011","..forest land","Tartu county","Number of transactions","2nd quarter",25
"2011","..forest land","Tartu county","Number of transactions","3rd quarter",24
"2011","..forest land","Tartu county","Number of transactions","4th quarter",21
"2011","..forest land","Tartu county","Value of transactions, euros","1st-4th quarters",1791124
"2011","..forest land","Tartu county","Value of transactions, euros","1st quarter",424807
"2011","..forest land","Tartu county","Value of transactions, euros","2nd quarter",245444
"2011","..forest land","Tartu county","Value of transactions, euros","3rd quarter",330591
"2011","..forest land","Tartu county","Value of transactions, euros","4th quarter",790282
"2011","..forest land","Tartu","Number of transactions","1st-4th quarters",0
