"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Rapla county","..purchase-sale contracts of ownership of dwellings","Number of contracts",105
"2001","Ascending total","Rapla county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",1009
"2001","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",28
"2001","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",1136.8
"2001","Ascending total","Rapla county","Purchase-sale contracts of right of superficies","Number of contracts",1
"2001","Ascending total","Rapla county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",6.5
"2001","Ascending total","Rapla county","Purchase-sale contracts of movable assets**","Number of contracts",378
"2001","Ascending total","Rapla county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",3255
"2001","Ascending total","Rapla county","..purchase-sale contracts of residential buildings**","Number of contracts",92
"2001","Ascending total","Rapla county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",990.7
"2001","Ascending total","Rapla county","..purchase-sale contracts of dwellings**","Number of contracts",225
"2001","Ascending total","Rapla county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",1404.5
"2001","Ascending total","Rapla county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",61
"2001","Ascending total","Rapla county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",859.8
"2001","Ascending total","Saare county","Purchase-sale contracts total","Number of contracts",809
"2001","Ascending total","Saare county","Purchase-sale contracts total","Value of contracts, thousand euros",12566.8
"2001","Ascending total","Saare county","Purchase-sale contracts of real estate","Number of contracts",514
"2001","Ascending total","Saare county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",9904.9
"2001","Ascending total","Saare county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",298
"2001","Ascending total","Saare county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",2845.5
"2001","Ascending total","Saare county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",97
"2001","Ascending total","Saare county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",2573.5
"2001","Ascending total","Saare county","..purchase-sale contracts of ownership of dwellings","Number of contracts",63
"2001","Ascending total","Saare county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",691.5
"2001","Ascending total","Saare county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",56
