date_adscrape,date_adcreate,date_adadjust,idhref,type,postcode,city_name,ad_price,ad_price_fx,ad_fx,rooms,floor_m2,construct_year,price_m2,LAU_code,GEOnat_code,NUTS_code,isnew,plot_m2,ad_details,scraper
2018-11-27,,,15334336,flat,,Stockholm,1995000,199500,EUR,"1,5",35,2009,57000,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-1,5rum-bandhagen-stockholms-kommun-skebokvarnsvagen-2-15334336",luca
2018-11-27,,,13560155,house,,Tyresö,4995000,499500,EUR,6,160,2018,31218.75,SE_0138,,SE110,TRUE,,https://www.hemnet.se/bostad/radhus-6rum-farmarstigen-tyreso-kommun-brf-myntan-13560155,luca
2018-11-27,,,15246895,flat,,Järfälla,3195000,319500,EUR,4,103,2017,31019.4174757282,SE_0123,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-4rum-jarfalla-kommun-hattkvarnsgatan-5-15246895,luca
2018-11-27,,,15334775,flat,,Värmdö,4450000,445000,EUR,4,115,1930,38695.652173913,SE_0120,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-4rum-gustavsberg-varmdo-kommun-stig-lindbergs-gata-21-15334775,luca
2018-11-27,,,14819380,flat,,Stockholm,2800000,280000,EUR,2,38,1926,73684.2105263158,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-sodermalm-sofia-stockholms-kommun-gotgatan-101,-2-tr-14819380",luca
2018-11-27,,,15335075,flat,,Nacka,2995000,299500,EUR,"1,5",42.5,2013,70470.5882352941,SE_0182,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-1,5rum-finnboda-hamn-nacka-kommun-finnboda-varvsvag-14a-15335075",luca
2018-11-27,,,13431156,house,,Huddinge,7150000,715000,EUR,5,138,2018,51811.5942028986,SE_0126,,SE110,TRUE,,https://www.hemnet.se/bostad/villa-5rum-lanna-huddinge-kommun-backasvagen-35-13431156,luca
2018-11-27,,,15329815,house,,Södertälje,3595000,359500,EUR,5,130,1961,27653.8461538462,SE_0181,,SE110,FALSE,,https://www.hemnet.se/bostad/radhus-5rum-karlhov-sodertalje-kommun-dalhagavagen-40-15329815,luca
2018-11-27,,,15335076,flat,,Stockholm,7490000,749000,EUR,3,77,1914,97272.7272727273,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-vasastan-birkastan-stockholms-kommun-tomtebogatan-31-a-15335076,luca
2018-11-27,,,15335256,flat,,Stockholm,2695000,269500,EUR,3,69,1951,39057.9710144928,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-bromma-blackeberg-stockholms-kommun-arvid-mornes-vag-46-15335256,luca
2018-11-27,,,15332855,flat,,Österåker,2395000,239500,EUR,2,53,,45188.679245283,SE_0117,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-akersberga-centralt-osterakers-kommun-aspovagen-1-15332855,luca
2018-11-27,,,15017235,house,,Järfälla,3995000,399500,EUR,6,143,1963,27937.0629370629,SE_0123,,SE110,FALSE,,https://www.hemnet.se/bostad/radhus-6rum-jakobsberg-jarfalla-kommun-travarvagen-49-15017235,luca
2018-11-27,,,15335315,flat,,Stockholm,2695000,269500,EUR,2,40,1974,67375,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-kungsholmen-stockholms-kommun-fleminggatan-40a,-5tr-15335315",luca
2018-11-27,,,15332259,flat,,Stockholm,1995000,199500,EUR,1,21.5,1965,92790.6976744186,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-1rum-sodermalm-sofo-stockholms-kommun-ringvagen-126-15332259,luca
2018-11-27,,,15335335,flat,,Stockholm,2695000,269500,EUR,2,39,1939,69102.5641025641,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-15335335,luca
2018-11-27,,,15333476,flat,,Vallentuna,2795000,279500,EUR,"3,5",100,2007,27950,SE_0115,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3,5rum-ballstaberg-vallentuna-kommun-nyborgsvagen-2,-3-tr-15333476",luca
